date,t2m_mean,t2m_max,t2m_min,t2m_range,qv2m_mean,qv2m_max,u10m_mean,v10m_mean,wind_speed_mean,wind_speed_max,wind_speed_min,calm_hours,daily_aqi,dominant_pollutant,wind_dir_sin,wind_dir_cos,doy_sin,doy_cos,is_weekend,t2m_mean_lag1,t2m_mean_lag2,t2m_mean_lag3,t2m_mean_roll3,t2m_max_lag1,t2m_max_lag2,t2m_max_lag3,t2m_max_roll3,qv2m_mean_lag1,qv2m_mean_lag2,qv2m_mean_lag3,qv2m_mean_roll3,wind_speed_mean_lag1,wind_speed_mean_lag2,wind_speed_mean_lag3,wind_speed_mean_roll3,calm_hours_lag1,calm_hours_lag2,calm_hours_lag3,calm_hours_roll3,pblh_mean,pblh_min,pblh_max,pblh_night,pblh_range,t850_mean,slp_mean,tqv_mean,inversion_strength,inversion_strength_max,ventilation_index,ventilation_index_min,inversion_strength_lag1,inversion_strength_lag2,inversion_strength_lag3,inversion_strength_roll3,ventilation_index_lag1,ventilation_index_lag2,ventilation_index_lag3,ventilation_index_roll3,pblh_min_lag1,pblh_min_lag2,pblh_min_lag3,pblh_min_roll3
2016-01-07,9.084325,10.674194,7.5290833,3.145111,6.3643055,7.234623,4.5135384,1.2063265,5.113807,6.947113,4.0856385,0,62.0,PM2.5,-0.9660900590512768,-0.2582053403829996,0.1201261651823505,0.9927586335250792,0,9.204604,11.257178,11.15665,9.848702333333334,11.935822,13.0842285,14.856079,11.898081499999998,6.876637,7.8119483,6.437552,7.017630266666667,5.373285,4.4379463,3.8423586,4.975012766666667,0.0,9.0,4.0,3.0,840.7202,576.4114,1306.0052,917.16016,729.5939,1.3158976,1012.4868,13.745975,-7.768427416038513,-8.15319790625,4299.280919709473,2947.6565343425295,-6.406092494873047,-6.042309931304931,-5.864976816558839,-6.73894328073883,3082.573320065918,3072.725236428467,2456.670741360754,3484.8598254012854,419.1801,239.89255,324.50778,411.82801666666666
2016-01-08,7.964045,13.524963,5.2292175,8.295746,5.172918,5.8081427,2.4314566,-2.4586213,3.6800652,4.7378135,2.653392,0,64.0,PM2.5,-0.7031676409586751,0.7110240985428072,0.1371854040566005,0.9905453876091832,0,9.084325,9.204604,11.257178,8.750991333333333,10.674194,11.935822,13.0842285,12.044993,6.3643055,6.876637,7.8119483,6.137953499999999,5.113807,5.373285,4.4379463,4.722385733333334,0.0,0.0,9.0,0.0,695.3359,377.1843,1562.2491,837.3135,1185.0648,1.8427607,1015.2961,9.086162,-6.1212843178939815,-10.31750450390625,2558.8813612897707,1388.0628004238893,-7.768427416038513,-6.406092494873047,-6.042309931304931,-6.765268076268513,4299.280919709473,3082.573320065918,3072.725236428467,3313.578533688387,576.4114,419.1801,239.89255,457.5919333333333
2016-01-09,8.787511,13.11673,6.0830383,7.0336914,5.4078946,6.1049714,0.09397545,0.70277566,1.7242743,2.9737158,0.40973923,15,78.0,PM2.5,-0.1325407963941723,-0.991177550841018,0.1542040475626894,0.988039023376751,1,7.964045,9.084325,9.204604,8.611960333333334,13.524963,10.674194,11.935822,12.438629,5.172918,6.3643055,6.876637,5.6483727,3.6800652,5.113807,5.373285,3.5060488333333333,0.0,0.0,0.0,5.0,561.4737,265.14413,1138.9276,595.01587,873.78345,2.994873,1020.6377,12.887258,-5.792637953125,-9.580139423828124,968.1346604275818,457.1812169511383,-6.1212843178939815,-7.768427416038513,-6.406092494873047,-6.560783229019165,2558.8813612897707,4299.280919709473,3082.573320065918,2608.7656471422747,377.1843,576.4114,419.1801,406.24661
2016-01-10,10.029067,14.094635,7.8797913,6.2148438,6.4806304,6.6629033,-0.5343991,0.60569113,1.7538795,2.196741,1.0773948,21,78.0,PM2.5,0.6615977445420302,-0.7498589363452959,0.1711770596101998,0.985240282501282,1,8.787511,7.964045,9.084325,8.926874333333332,13.11673,13.524963,10.674194,13.578776,5.4078946,5.172918,6.3643055,5.687147666666667,1.7242743,3.6800652,5.113807,2.386073,15.0,0.0,0.0,12.0,831.85455,333.49835,1326.4213,1132.6792,992.9229,3.6886241,1021.25977,18.104918,-6.340442856399536,-9.54562376953125,1458.9726478788757,584.9159229456482,-5.792637953125,-6.1212843178939815,-7.768427416038513,-6.0847883758061725,968.1346604275818,2558.8813612897707,4299.280919709473,1661.9962231987429,265.14413,377.1843,576.4114,325.27559333333335
2016-01-11,10.022061,15.511444,6.9898376,8.521606,5.7127433,6.6695185,-0.78493905,-1.7955738,2.1918535,3.4723415,1.219641,9,76.0,PM2.5,0.4005513411642999,0.916274316507606,0.1880994176117975,0.9821499931752292,0,10.029067,8.787511,7.964045,9.612879666666666,14.094635,13.11673,13.524963,14.240936333333332,6.4806304,5.4078946,5.172918,5.867089433333334,1.7538795,1.7242743,3.6800652,1.8900024333333336,21.0,15.0,0.0,15.0,592.99756,127.61586,1393.5496,810.1635,1265.9337,4.3454247,1023.9963,12.76208,-5.676636347900391,-10.145629791015624,1299.763774295166,279.7152693644028,-6.340442856399536,-5.792637953125,-6.1212843178939815,-5.936572385808309,1458.9726478788757,968.1346604275818,2558.8813612897707,1242.290360867208,333.49835,265.14413,377.1843,242.08611333333337
2016-01-12,9.997608,17.626892,5.1457825,12.48111,4.039408,5.493941,-1.4724158,-2.2035859,3.0700514,4.877523,1.1212668,6,65.0,PM2.5,0.5555771987036413,0.8314649579390672,0.2049661139694953,0.9787690698649216,0,10.022061,10.029067,8.787511,10.016245333333332,15.511444,14.094635,13.11673,15.744323666666668,5.7127433,6.4806304,5.4078946,5.410927233333333,2.1918535,1.7538795,1.7242743,2.3385948,9.0,21.0,15.0,12.0,241.82788,69.18349,887.9685,332.56915,818.78503,7.8238983,1023.0638,4.2621427,-2.173709684570312,-7.118560701171877,742.4240241913575,212.3968609323517,-5.676636347900391,-6.340442856399536,-5.792637953125,-4.730262962956746,1299.763774295166,1458.9726478788757,968.1346604275818,1167.0534821217998,127.61586,333.49835,265.14413,176.76590000000002
2016-01-13,11.335704,16.35382,8.853516,7.500305,4.61752,7.194999,1.5305818,-0.86733335,2.2511508,5.3342285,1.1209112,15,75.0,PM2.5,-0.870021344820886,0.4930140561445049,0.2217721575564818,0.975098513039961,0,9.997608,10.022061,10.029067,10.451791,17.626892,15.511444,14.094635,16.497385333333337,4.039408,5.7127433,6.4806304,4.789890433333333,3.0700514,2.1918535,1.7538795,2.5043519,6.0,9.0,21.0,10.0,282.87085,98.59616,952.0904,378.12512,853.49426,9.638489,1020.1423,6.789621,-1.6972152304687498,-5.839080009765624,636.7849393948242,221.9548264614624,-2.173709684570312,-5.676636347900391,-6.340442856399536,-3.182520420979818,742.4240241913575,1299.763774295166,1458.9726478788757,892.9909126271159,69.18349,127.61586,333.49835,98.46517
2016-01-14,10.413714,16.082855,6.679962,9.402893,6.6767116,7.8692865,1.3683834,-1.040814,2.2514503,4.0407753,0.8654622,13,78.0,PM2.5,-0.7959259327639986,0.6053940118251574,0.2385125751940764,0.9711394088771652,0,11.335704,9.997608,10.022061,10.582342,16.35382,17.626892,15.511444,16.687855666666668,4.61752,4.039408,5.7127433,5.111213200000001,2.2511508,3.0700514,2.1918535,2.5242175,15.0,6.0,9.0,11.333333333333334,374.24277,148.13753,987.85675,429.34793,839.71924,9.019299,1017.9416,9.394103,-1.3944154465332037,-5.991302265624999,842.5889907869293,333.5242806541794,-1.6972152304687498,-2.173709684570312,-5.676636347900391,-1.7551134538574218,636.7849393948242,742.4240241913575,1299.763774295166,740.5993181243703,98.59616,69.18349,127.61586,105.30572666666667
2016-01-15,10.382251,14.522919,8.1736145,6.349304,6.536549,7.233421,2.2681465,0.053261828,2.388199,3.6303828,1.2775695,9,74.0,PM2.5,-0.9997244004480228,-0.0234760122005679,0.2551824131233728,0.966892928939152,0,10.413714,11.335704,9.997608,10.710556333333336,16.082855,16.35382,17.626892,15.653198,6.6767116,4.61752,4.039408,5.943593533333332,2.2514503,2.2511508,3.0700514,2.2969333666666665,13.0,15.0,6.0,12.333333333333334,484.60654,181.63425,923.43414,436.56622,741.7999,7.8047233,1016.6956,13.826324,-2.577527737213135,-4.630127251953125,1157.336846735016,433.77872663601687,-1.3944154465332037,-1.6972152304687498,-2.173709684570312,-1.8897194714050294,842.5889907869293,636.7849393948242,742.4240241913575,878.9035923055899,148.13753,98.59616,69.18349,142.78931333333333
2016-01-16,10.955245,16.70221,8.168488,8.533722,6.6675363,7.904645,0.80502516,-0.60811317,1.7652811,4.513705,0.47273225,19,83.0,PM2.5,-0.7979284841814096,0.6027521332454644,0.2717767384711357,0.9623603298276544,1,10.382251,10.413714,11.335704,10.583736666666669,14.522919,16.082855,16.35382,15.769328000000002,6.536549,6.6767116,4.61752,6.6269323,2.388199,2.2514503,2.2511508,2.1349768,9.0,13.0,15.0,13.666666666666666,328.52478,137.30432,1005.5827,420.27283,868.2784,8.305987,1019.4507,18.532578,-2.649257641906738,-6.882202675781251,579.938585498352,242.3807233199097,-2.577527737213135,-1.3944154465332037,-1.6972152304687498,-2.2070669418843587,1157.336846735016,842.5889907869293,636.7849393948242,859.9548076734324,181.63425,148.13753,98.59616,155.69203333333334
