date,daily_aqi,n_monitor_readings,n_sites,pollutants_used,dominant_pollutant,dominant_site
2016-02-26,74.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-02-27,90.0,60,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-02-28,115.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-02-29,109.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-03-01,134.0,56,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-03-02,124.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-03-03,87.0,51,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-03-04,86.0,59,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-03-05,67.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Glendora
2016-03-06,54.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-03-07,44.0,62,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-03-08,53.0,50,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-03-09,58.0,51,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-03-10,66.0,57,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-03-11,54.0,51,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-03-12,56.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-03-13,59.0,63,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-03-14,52.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-03-15,59.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-03-16,77.0,56,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,LAX Hastings
2016-03-17,100.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-03-18,88.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-03-19,101.0,63,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-03-20,113.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-03-21,83.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-03-22,61.0,58,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-03-23,57.0,50,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-03-24,66.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-03-25,58.0,62,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Pomona
2016-03-26,87.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Azusa
2016-03-27,108.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-03-28,64.0,58,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-03-29,54.0,50,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-03-30,58.0,51,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-03-31,56.0,63,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-04-01,68.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-04-02,101.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Azusa
