date,daily_aqi,n_monitor_readings,n_sites,pollutants_used,dominant_pollutant,dominant_site
2016-02-24,55.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",NO2,Pico Rivera #2
2016-02-25,67.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Reseda
2016-02-26,69.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach (South)
2016-02-27,90.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-02-28,115.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-02-29,92.0,46,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-03-01,112.0,47,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-03-02,98.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-03-03,74.0,46,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-03-04,76.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-03-05,43.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-03-06,47.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-03-07,44.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,LAX Hastings
2016-03-08,53.0,43,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-03-09,57.0,44,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-03-10,61.0,50,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Compton
2016-03-11,53.0,44,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-03-12,52.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-03-13,43.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-03-14,49.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-03-15,56.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-03-16,77.0,49,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,LAX Hastings
2016-03-17,100.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-03-18,77.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-03-19,101.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-03-20,97.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-03-21,52.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-03-22,61.0,51,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-03-23,57.0,44,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-03-24,66.0,45,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-03-25,58.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Pomona
2016-03-26,87.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Azusa
2016-03-27,108.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-03-28,64.0,50,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-03-29,51.0,44,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach (South)
2016-03-30,45.0,45,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-03-31,56.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-04-01,58.0,46,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-04-02,101.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Azusa
2016-04-03,87.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Azusa
